,party,region,result,council
4128," Партія ""Руський блок""  ", Одеська область, 4 ,Ізмаїльська міська рада
4129, Партія Зелених України , Одеська область," 2,6 ",Одеська міська рада
4130," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 2,6 ",Одеська міська рада
4131, Самовисування , Одеська область," 1,7 ",Одеська міська рада
4132," Партія ""Справедливість""  ", Миколаївська область," 1,1 ",Миколаївська міська рада
4133," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область, 4 ,Ізмаїльська міська рада
4134," Політична партія ""Фронт Змін""  ", Одеська область, 4 ,Ізмаїльська міська рада
4135, Партія промисловців і підприємців України , Одеська область, 2 ,Ізмаїльська міська рада
4136, Народна Партія , Одеська область," ,9 ",Одеська міська рада
4137," Партія ""Справедливість""  ", Одеська область," ,9 ",Одеська міська рада
4138, Партія регіонів , Одеська область," 53,1 ",Білгород-Дністровська міська рада
4139, Комуністична партія України , Одеська область," 12,2 ",Білгород-Дністровська міська рада
4140," Політична партія ""Сильна Україна"" ", Одеська область," 12,2 ",Білгород-Дністровська міська рада
4141," Політична партія ""Фронт Змін""  ", Одеська область," 8,2 ",Білгород-Дністровська міська рада
4142, Партія регіонів , Донецька область," 69,4 ",Ясинуватська міська рада
4145, Соціалістична партія України , Одеська область," 6,1 ",Білгород-Дністровська міська рада
4146, Політична партія малого і середнього бізнесу України , Одеська область," 4,1 ",Білгород-Дністровська міська рада
4147, Народна Партія , Одеська область, 2 ,Білгород-Дністровська міська рада
4148, Соціалістична партія України , Донецька область," 16,7 ",Ясинуватська міська рада
4149, Комуністична партія України , Донецька область," 11,1 ",Ясинуватська міська рада
4150," Політична партія ""Сильна Україна"" ", Донецька область," 2,8 ",Ясинуватська міська рада
4157," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область, 2 ,Білгород-Дністровська міська рада
4158, Партія регіонів , Донецька область, 86 ,Шахтарська міська рада
4164, Партія регіонів , Донецька область, 75 ,Харцизька міська рада
4165, Комуністична партія України , Донецька область, 12 ,Шахтарська міська рада
4166," Партія ""Руський блок""  ", Донецька область, 2 ,Шахтарська міська рада
4174," Політична партія ""Сильна Україна"" ", Донецька область," 9,1 ",Харцизька міська рада
4175, Комуністична партія України , Донецька область," 6,8 ",Харцизька міська рада
4176," Політична партія ""Фронт Змін""  ", Донецька область," 4,5 ",Харцизька міська рада
4177," Партія ""Руський блок""  ", Донецька область," 2,3 ",Харцизька міська рада
4183, Соціалістична партія України , Донецька область," 2,3 ",Харцизька міська рада
4190, Партія регіонів , Донецька область, 84 ,Торезька міська рада
4191, Партія регіонів , Донецька область," 73,7 ",Сніжнянська міська рада
4192, Партія регіонів , Донецька область," 79,3 ",Слов'янська міська рада
4193, Партія регіонів , Донецька область," 69,4 ",Селидівська міська рада
4197, Комуністична партія України , Донецька область, 10 ,Торезька міська рада
4198," Політична партія ""Сильна Україна"" ", Донецька область, 4 ,Торезька міська рада
4199," ""Народна партія вкладників та соціального захисту"" ", Донецька область, 2 ,Торезька міська рада
4200, Народна Партія , Донецька область," 13,2 ",Сніжнянська міська рада
4201, Комуністична партія України , Донецька область," 5,3 ",Сніжнянська міська рада
4202," Політична партія ""Сильна Україна"" ", Донецька область," 5,3 ",Сніжнянська міська рада
4203, Комуністична партія України , Донецька область," 10,3 ",Слов'янська міська рада
4204," Політична партія ""Сильна Україна"" ", Донецька область," 3,4 ",Слов'янська міська рада
4205, Прогресивна соціалістична партія України , Донецька область," 3,4 ",Слов'янська міська рада
4206," Політична партія ""ДІТИ ВІЙНИ ""НАРОДНА ПАРТІЯ УКРАЇНИ"" ", Донецька область," 1,7 ",Слов'янська міська рада
4207, Партія регіонів , Донецька область," 72,2 ",Новогродівська міська рада
4208, Комуністична партія України , Донецька область," 11,1 ",Селидівська міська рада
4209," Партія ""Справедливість""  ", Донецька область," 8,3 ",Селидівська міська рада
4210, Єдиний Центр , Донецька область," 5,6 ",Селидівська міська рада
4211," Політична партія ""Сильна Україна"" ", Донецька область," 2,8 ",Селидівська міська рада
4214, Соціалістична партія України , Донецька область," 2,6 ",Сніжнянська міська рада
4215, Партія регіонів , Донецька область," 97,4 ",Макіївська міська рада
4216, Партія регіонів , Донецька область," 84,2 ",Маріупольська міська рада
4217," Політична партія ""Фронт Змін""  ", Донецька область," 1,7 ",Слов'янська міська рада
4218, Комуністична партія України , Донецька область," 13,9 ",Новогродівська міська рада
4219, Партія захисників Вітчизни , Донецька область," 13,9 ",Новогродівська міська рада
4220," Політична партія ""Фронт Змін""  ", Донецька область," 2,8 ",Селидівська міська рада
4221, Комуністична партія України , Донецька область," 2,6 ",Макіївська міська рада
4222, Комуністична партія України , Донецька область," 5,3 ",Маріупольська міська рада
4223," Політична партія ""Фронт Змін""  ", Донецька область," 5,3 ",Маріупольська міська рада
4224," Політична партія ""Сильна Україна"" ", Донецька область," 2,6 ",Маріупольська міська рада
4225, Соціалістична партія України , Донецька область," 2,6 ",Маріупольська міська рада
4226, Партія регіонів , Донецька область," 58,3 ",Кіровська міська рада
4227, Комуністична партія України , Донецька область," 27,8 ",Кіровська міська рада
4228," Політична партія ""Союз Лівих Сил"" ", Донецька область," 5,6 ",Кіровська міська рада
4229, Єдиний Центр , Донецька область," 2,8 ",Кіровська міська рада
4230, Партія регіонів , Донецька область, 85 ,Красноармійська міська рада
4231, Партія регіонів , Донецька область," 83,3 ",Краснолиманська міська рада
4232," Політична партія ""Нова політика"" ", Донецька область," 2,8 ",Кіровська міська рада
4233," Політична партія ""Сильна Україна"" ", Донецька область," 2,8 ",Кіровська міська рада
4234, Комуністична партія України , Донецька область," 7,5 ",Красноармійська міська рада
4235," Політична партія ""Фронт Змін""  ", Донецька область, 5 ,Красноармійська міська рада
4236, Ліберальна партія України , Донецька область," 2,5 ",Красноармійська міська рада
4237, Партія регіонів , Донецька область," 77,6 ",Краматорська міська рада
4238, Комуністична партія України , Донецька область," 11,9 ",Краснолиманська міська рада
4239," Політична партія ""Фронт Змін""  ", Донецька область," 4,8 ",Краснолиманська міська рада
4240, Партія регіонів , Донецька область, 90 ,Єнакієвська міська рада
4241, Партія регіонів , Донецька область," 87,5 ",Костянтинівська міська рада
4242, Партія регіонів , Донецька область," 83,3 ",Жданівська міська рада
4243, Партія регіонів , Донецька область, 86 ,Дружківська міська рада
4244," Політична партія ""Фронт Змін""  ", Донецька область," 8,2 ",Краматорська міська рада
4245, Комуністична партія України , Донецька область," 4,1 ",Краматорська міська рада
4246," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Донецька область," 4,1 ",Краматорська міська рада
4247," Політична партія ""Сильна Україна"" ", Донецька область," 4,1 ",Краматорська міська рада
4248, Комуністична партія України , Донецька область, 8 ,Єнакієвська міська рада
4249," Політична партія ""Сильна Україна"" ", Донецька область, 2 ,Єнакієвська міська рада
4250, Комуністична партія України , Донецька область, 10 ,Костянтинівська міська рада
4251," Політична партія ""Фронт Змін""  ", Донецька область," 2,5 ",Костянтинівська міська рада
4252," Політична партія ""Сильна Україна"" ", Донецька область, 10 ,Жданівська міська рада
4253, Комуністична партія України , Донецька область," 6,7 ",Жданівська міська рада
4254, Комуністична партія України , Донецька область, 10 ,Дружківська міська рада
4255," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Донецька область, 2 ,Дружківська міська рада
4256," Політична партія ""Сильна Україна"" ", Донецька область, 2 ,Дружківська міська рада
4257, Прогресивна соціалістична партія України , Донецька область, 2 ,Краматорська міська рада
4258, Партія регіонів , Донецька область, 85 ,Докучаєвська міська рада
4259, Партія регіонів , Донецька область, 90 ,Добропільська міська рада
4260, Партія регіонів , Донецька область, 87 ,Дзержинська міська рада
4261, Партія регіонів , Донецька область, 87 ,Дебальцівська міська рада
4262, Партія регіонів , Донецька область," 83,3 ",Вугледарська міська рада
4263, Партія регіонів , Донецька область," 94,4 ",Донецька міська рада
4264," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Донецька область, 5 ,Докучаєвська міська рада
4265, Прогресивна соціалістична партія України , Донецька область, 5 ,Докучаєвська міська рада
4266, Єдиний Центр , Донецька область," 2,5 ",Докучаєвська міська рада
4267," Політична партія ""Сильна Україна"" ", Донецька область," 2,5 ",Докучаєвська міська рада
4268, Комуністична партія України , Донецька область," 7,5 ",Добропільська міська рада
4269," Партія ""Жінки за майбутнє"" Всеукраїнське політичне об'єднання ", Донецька область," 2,5 ",Добропільська міська рада
4270, Комуністична партія України , Донецька область," 6,5 ",Дзержинська міська рада
4271," Політична партія ""Сильна Україна"" ", Донецька область," 4,3 ",Дзержинська міська рада
4272, Прогресивна соціалістична партія України , Донецька область," 2,2 ",Дзержинська міська рада
4273, Комуністична партія України , Донецька область," 8,7 ",Дебальцівська міська рада
4274, Народна Партія , Донецька область," 2,2 ",Дебальцівська міська рада
4275," Політична партія ""Сильна Україна"" ", Донецька область," 2,2 ",Дебальцівська міська рада
4276, Соціалістична партія України , Донецька область, 10 ,Вугледарська міська рада
4277, Комуністична партія України , Донецька область," 6,7 ",Вугледарська міська рада
4278, Комуністична партія України , Донецька область," 3,3 ",Донецька міська рада
4279," Політична партія ""Сильна Україна"" ", Донецька область," 2,2 ",Донецька міська рада
4280, Партія регіонів , Донецька область," 87,5 ",Димитровська міська рада
4281, Партія регіонів , Донецька область," 77,3 ",Горлівська міська рада
4282," Політична партія ""Фронт Змін""  ", Донецька область," 12,5 ",Димитровська міська рада
4283," Політична партія ""Сильна Україна"" ", Донецька область," 9,3 ",Горлівська міська рада
4284, Комуністична партія України , Донецька область," 5,3 ",Горлівська міська рада
4285," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Донецька область," 2,7 ",Горлівська міська рада
4286," Політична партія ""Європейська партія України"" ", Донецька область," 2,7 ",Горлівська міська рада
4287, Єдиний Центр , Донецька область," 1,3 ",Горлівська міська рада
4288," Партія ""Справедливість""  ", Донецька область," 1,3 ",Горлівська міська рада
4297, Партія регіонів , Донецька область, 95 ,Артемівська міська рада
4305, Комуністична партія України , Донецька область, 5 ,Артемівська міська рада
4309, Партія регіонів , Дніпропетровська область, 70 ,Синельниківська міська рада
4321," Політична партія ""Україна Майбутнього"" ", Дніпропетровська область," 12,5 ",Синельниківська міська рада
4322, Комуністична партія України , Дніпропетровська область, 5 ,Синельниківська міська рада
4323," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область, 5 ,Синельниківська міська рада
4324," Політична партія ""Сильна Україна"" ", Дніпропетровська область, 5 ,Синельниківська міська рада
4325," Політична партія ""Фронт Змін""  ", Дніпропетровська область," 2,5 ",Синельниківська міська рада
4326, Партія регіонів , Дніпропетровська область," 69,4 ",Тернівська міська рада
4334," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 11,1 ",Тернівська міська рада
4335, Комуністична партія України , Дніпропетровська область," 5,6 ",Тернівська міська рада
4336," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 5,6 ",Тернівська міська рада
4337, Народна Партія , Дніпропетровська область," 2,8 ",Тернівська міська рада
4338," Політична партія ""Фронт Змін""  ", Дніпропетровська область," 2,8 ",Тернівська міська рада
4345, Християнсько-ліберальна партія України , Дніпропетровська область," 2,8 ",Тернівська міська рада
4347, Партія регіонів , Дніпропетровська область," 58,3 ",Першотравенська міська рада
4348, Українська селянська демократична партія , Дніпропетровська область," 16,7 ",Першотравенська міська рада
4349, Комуністична партія України , Дніпропетровська область," 11,1 ",Першотравенська міська рада
4350," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 5,6 ",Першотравенська міська рада
4351, Християнсько-ліберальна партія України , Дніпропетровська область," 5,6 ",Першотравенська міська рада
4352," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 2,8 ",Першотравенська міська рада
4353, Партія регіонів , Дніпропетровська область," 60,9 ",Орджонікідзевська міська рада
4354, Партія регіонів , Дніпропетровська область," 52,2 ",Павлоградська міська рада
4355, Комуністична партія України , Дніпропетровська область," 17,4 ",Орджонікідзевська міська рада
4356, Партія Зелених України , Дніпропетровська область," 6,5 ",Орджонікідзевська міська рада
4357," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 6,5 ",Орджонікідзевська міська рада
4358, Єдиний Центр , Дніпропетровська область," 2,2 ",Орджонікідзевська міська рада
4359, Народна Партія , Дніпропетровська область," 2,2 ",Орджонікідзевська міська рада
4360," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 15,2 ",Павлоградська міська рада
4361," Політична партія ""Фронт Змін""  ", Дніпропетровська область," 8,7 ",Павлоградська міська рада
4362, Комуністична партія України , Дніпропетровська область," 6,5 ",Павлоградська міська рада
4363," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 6,5 ",Павлоградська міська рада
4364," Політична партія ""Партія екологічного порятунку ""ЕКО+25%""  ", Дніпропетровська область," 4,3 ",Павлоградська міська рада
4365," Партія ""За Права Людини"" ", Дніпропетровська область," 2,2 ",Павлоградська міська рада
4366, Партія регіонів , Дніпропетровська область," 52,8 ",Марганецька міська рада
4367," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 2,2 ",Орджонікідзевська міська рада
4368," Політична партія ""Фронт Змін""  ", Дніпропетровська область," 2,2 ",Орджонікідзевська міська рада
4369," Партія ""Руський блок""  ", Дніпропетровська область," 2,2 ",Павлоградська міська рада
4370," Політична партія Всеукраїнське об’єднання ""Громада"" ", Дніпропетровська область," 2,2 ",Павлоградська міська рада
4371," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 16,7 ",Марганецька міська рада
4372, Комуністична партія України , Дніпропетровська область," 11,1 ",Марганецька міська рада
4373," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 8,3 ",Марганецька міська рада
4374," Політична партія ""Фронт Змін""  ", Дніпропетровська область," 8,3 ",Марганецька міська рада
4375," Політична партія Всеукраїнське об’єднання ""Свобода"" ", Дніпропетровська область," 2,8 ",Марганецька міська рада
4376, Партія регіонів , Дніпропетровська область, 48 ,Новомосковська міська рада
4377, Партія регіонів , Дніпропетровська область," 48,3 ",Нікопольська міська рада
4378," Політична партія Всеукраїнське об’єднання ""Громада"" ", Дніпропетровська область, 14 ,Новомосковська міська рада
4379," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область, 12 ,Новомосковська міська рада
4380, Комуністична партія України , Дніпропетровська область, 8 ,Новомосковська міська рада
4381, Партія Зелених України , Дніпропетровська область, 8 ,Новомосковська міська рада
4382," Політична партія ""Сильна Україна"" ", Дніпропетровська область, 4 ,Новомосковська міська рада
4383, Партія регіонів , Дніпропетровська область," 57,1 ",Жовтоводська міська рада
4384," Політична партія ""Україна Майбутнього"" ", Дніпропетровська область, 15 ,Нікопольська міська рада
4385," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область, 10 ,Нікопольська міська рада
4386," Політична партія ""Справедлива країна"" ", Дніпропетровська область, 10 ,Нікопольська міська рада
4387, Комуністична партія України , Дніпропетровська область," 6,7 ",Нікопольська міська рада
4388," Політична партія ""Сильна Україна"" ", Дніпропетровська область, 5 ,Нікопольська міська рада
4389," Політична партія ""Фронт Змін""  ", Дніпропетровська область," 3,3 ",Нікопольська міська рада
4390," Політична партія ""Фронт Змін""  ", Дніпропетровська область, 4 ,Новомосковська міська рада
4391," Партія ""Громадська сила""  ", Дніпропетровська область, 2 ,Новомосковська міська рада
4392, Комуністична партія України , Дніпропетровська область, 19 ,Жовтоводська міська рада
4393," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 9,5 ",Жовтоводська міська рада
4394," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 4,8 ",Жовтоводська міська рада
4395," Політична партія ""Фронт Змін""  ", Дніпропетровська область," 4,8 ",Жовтоводська міська рада
4396," Політична партія ""Україна Майбутнього"" ", Дніпропетровська область," 2,4 ",Жовтоводська міська рада
4397, Соціалістична партія України , Дніпропетровська область," 2,4 ",Жовтоводська міська рада
4398, Партія регіонів , Дніпропетровська область," 71,1 ",Криворізька міська рада
4399," Партія ""Віче"" ", Дніпропетровська область," 1,7 ",Нікопольська міська рада
4400, Комуністична партія України , Дніпропетровська область, 10 ,Криворізька міська рада
4401," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 7,8 ",Криворізька міська рада
4402," Політична партія ""Фронт Змін""  ", Дніпропетровська область," 5,6 ",Криворізька міська рада
4403," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 4,4 ",Криворізька міська рада
4404, Народна Партія , Дніпропетровська область," 1,1 ",Криворізька міська рада
4405, Партія регіонів , Дніпропетровська область, 65 ,Дніпропетровська міська рада
4406," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 10,8 ",Дніпропетровська міська рада
4407," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 6,7 ",Дніпропетровська міська рада
4408," Політична партія ""Фронт Змін""  ", Дніпропетровська область," 6,7 ",Дніпропетровська міська рада
4409, Комуністична партія України , Дніпропетровська область, 5 ,Дніпропетровська міська рада
4410," Політична партія ""Україна Майбутнього"" ", Дніпропетровська область," 3,3 ",Дніпропетровська міська рада
4411, Народна Партія , Дніпропетровська область," 2,5 ",Дніпропетровська міська рада
4448, Партія регіонів , Дніпропетровська область, 64 ,Дніпродзержинська міська рада
4459," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область, 8 ,Дніпродзержинська міська рада
4460," Політична партія ""Фронт Змін""  ", Дніпропетровська область," 6,7 ",Дніпродзержинська міська рада
4461," Політична партія ""Наша Україна"" ", Дніпропетровська область," 5,3 ",Дніпродзержинська міська рада
4462," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 5,3 ",Дніпродзержинська міська рада
4463, Комуністична партія України , Дніпропетровська область, 4 ,Дніпродзержинська міська рада
4470, Народна Партія , Дніпропетровська область," 2,7 ",Дніпродзержинська міська рада
4471," Політична партія ""За Україну!""  ", Дніпропетровська область," 2,7 ",Дніпродзержинська міська рада
4472, Партія Християнсько-Демократичний Союз , Дніпропетровська область," 1,3 ",Дніпродзержинська міська рада
4488, Партія регіонів , Дніпропетровська область," 52,8 ",Вільногірська міська рада
4498," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 13,9 ",Вільногірська міська рада
4499, Комуністична партія України , Дніпропетровська область," 11,1 ",Вільногірська міська рада
4500," Політична партія ""Фронт Змін""  ", Дніпропетровська область," 11,1 ",Вільногірська міська рада
4501," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 5,6 ",Вільногірська міська рада
4502, Єдиний Центр , Дніпропетровська область," 2,8 ",Вільногірська міська рада
4503," Політична партія ""Україна Майбутнього"" ", Дніпропетровська область," 2,8 ",Вільногірська міська рада
4707, Партія регіонів , Херсонська область," 59,2 ",Херсонська міська рада
4723," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Херсонська область," 11,8 ",Херсонська міська рада
4724, Комуністична партія України , Херсонська область," 7,9 ",Херсонська міська рада
4725," Політична партія ""Третя Сила""  ", Херсонська область," 5,3 ",Херсонська міська рада
4726," Політична партія ""Вітчизна"" ", Херсонська область," 3,9 ",Херсонська міська рада
4727," Політична партія ""Фронт Змін""  ", Херсонська область," 3,9 ",Херсонська міська рада
4731, Партія регіонів , Херсонська область," 66,7 ",Каховська міська рада
4732, Партія регіонів , Херсонська область, 54 ,Новокаховська міська рада
4736," Політична партія ""Сильна Україна"" ", Херсонська область," 2,6 ",Херсонська міська рада
4737," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"" ", Херсонська область," 2,6 ",Херсонська міська рада
4738, Народна Партія , Херсонська область," 1,3 ",Херсонська міська рада
4739," Політична партія ""Союз Лівих Сил"" ", Херсонська область," 1,3 ",Херсонська міська рада
4740," Політична партія ""Сильна Україна"" ", Херсонська область," 16,7 ",Каховська міська рада
4741, Комуністична партія України , Херсонська область," 8,3 ",Каховська міська рада
4742," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Херсонська область," 5,6 ",Каховська міська рада
4743, Народна Екологічна партія , Херсонська область," 2,8 ",Каховська міська рада
4744," Політична партія ""Сильна Україна"" ", Херсонська область, 10 ,Новокаховська міська рада
4745, Комуністична партія України , Херсонська область, 8 ,Новокаховська міська рада
4746," Політична партія ""Совість України"" ", Херсонська область, 8 ,Новокаховська міська рада
4747," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Херсонська область, 6 ,Новокаховська міська рада
4752, Народна Партія , Херсонська область, 4 ,Новокаховська міська рада
4753," Політична партія ""Третя Сила""  ", Херсонська область, 4 ,Новокаховська міська рада
4754," Партія ""Руський блок""  ", Херсонська область, 2 ,Новокаховська міська рада
4755," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"" ", Херсонська область, 2 ,Новокаховська міська рада
4762," Політична партія ""Фронт Змін""  ", Херсонська область, 2 ,Новокаховська міська рада
4940, Партія регіонів , Харківська область, 60 ,Чугуївська міська рада
4943," Політична партія ""Сильна Україна"" ", Харківська область," 17,5 ",Чугуївська міська рада
4944, Українська соціал-демократична партія , Харківська область, 10 ,Чугуївська міська рада
4945, Комуністична партія України , Харківська область," 7,5 ",Чугуївська міська рада
4946, Народна Партія , Харківська область," 2,5 ",Чугуївська міська рада
4955, Самовисування , Харківська область," 2,5 ",Чугуївська міська рада
4956, Партія регіонів , Харківська область," 66,7 ",Первомайська міська рада
4959, Партія регіонів , Харківська область," 54,3 ",Люботинська міська рада
4964," Політична партія ""Сильна Україна"" ", Харківська область," 22,2 ",Первомайська міська рада
4965, Комуністична партія України , Харківська область," 5,6 ",Первомайська міська рада
4966," Партія ""ВІДРОДЖЕННЯ"" ", Харківська область," 2,8 ",Первомайська міська рада
4967," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 2,8 ",Первомайська міська рада
4968," Партія ""ВІДРОДЖЕННЯ"" ", Харківська область," 21,7 ",Люботинська міська рада
4969," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 15,2 ",Люботинська міська рада
4970," Політична партія ""Фронт Змін""  ", Харківська область," 4,3 ",Люботинська міська рада
4971, Комуністична партія України , Харківська область," 2,2 ",Люботинська міська рада
4972," Політична партія ""Сильна Україна"" ", Харківська область," 2,2 ",Люботинська міська рада
4973, Партія регіонів , Харківська область, 69 ,Харківська міська рада
4978," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область, 13 ,Харківська міська рада
4979, Комуністична партія України , Харківська область, 8 ,Харківська міська рада
4980," Політична партія ""Сильна Україна"" ", Харківська область, 6 ,Харківська міська рада
4981," Політична партія ""Фронт Змін""  ", Харківська область, 2 ,Харківська міська рада
4982, Народна Партія , Харківська область, 1 ,Харківська міська рада
4983, Партія Пенсіонерів України , Харківська область, 1 ,Харківська міська рада
4984, Партія регіонів , Харківська область, 50 ,Лозівська міська рада
4985," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область, 14 ,Лозівська міська рада
4986, Партія промисловців і підприємців України , Харківська область, 10 ,Лозівська міська рада
4987," Політична партія ""Сильна Україна"" ", Харківська область, 10 ,Лозівська міська рада
4988, Комуністична партія України , Харківська область, 8 ,Лозівська міська рада
4989," Партія ""ВІДРОДЖЕННЯ"" ", Харківська область, 8 ,Лозівська міська рада
4990, Партія регіонів , Харківська область, 68 ,Куп'янська міська рада
4991," Партія ""ВІДРОДЖЕННЯ"" ", Харківська область, 14 ,Куп'янська міська рада
4992, Комуністична партія України , Харківська область, 6 ,Куп'янська міська рада
4993," Партія  Політичне об’єднання ""Рідна Вітчизна"" ", Харківська область, 4 ,Куп'янська міська рада
4994," Політична партія ""Фронт Змін""  ", Харківська область, 4 ,Куп'янська міська рада
4995, Партія регіонів , Харківська область," 56,8 ",Ізюмська міська рада
